"TOA5","GRT - GIZ Graaff-Reinet","Latitude: -32.48547","Longitude: 24.58582","Elevation: 660 m",,,SAURAN
"Date","RecNum","GHI_CMP11","DNI_CHP1","DHI_CMP11","Air_Temp","BP","RH","Rain_Tot","WS","WD","WD_SD"
"TS","RN","W/m^2","W/m^2","W/m^2","Deg C","mbar","%","mm","meters/second","Deg","Deg"
"","","Avg","Avg","Avg","Avg","Avg","Smp","Tot","WVc","WVc","WVc"
2015-12-21 00:00,368950,0,0,0,17.87,937,87.6,0,3.585,291.7,4.075
2015-12-21 00:01,368951,0,0,0,17.86,937,87.6,0,3.244,290.9,5.093
2015-12-21 00:02,368952,0,0,0,17.85,937,87.8,0,4.14,290.3,3.472
2015-12-21 00:03,368953,0,0,0,17.85,937,87.7,0,3.561,293.2,4.427
2015-12-21 00:04,368954,0,0,0,17.85,937,87.8,0,4.098,294,4.123
2015-12-21 00:05,368955,0,0,0,17.85,937,87.9,0,3.894,293.4,3.695
2015-12-21 00:06,368956,0,0,0,17.84,937,87.8,0,3.784,291,4.258
2015-12-21 00:07,368957,0,0,0,17.83,937,87.9,0,4.013,291.7,3.26
2015-12-21 00:08,368958,0,0,0,17.83,937,88.1,0,4.245,292.1,3.02
2015-12-21 00:09,368959,0,0,0,17.82,937,88,0,4.501,293.4,2.125
2015-12-21 00:10,368960,0,0,0,17.81,937,88,0,3.806,293.7,2.908
2015-12-21 00:11,368961,0,0,0,17.8,937,88.1,0,4.232,293.5,2.787
2015-12-21 00:12,368962,0,0,0,17.79,937,88.1,0,4.348,295.4,2.646
2015-12-21 00:13,368963,0,0,0,17.78,937,88.2,0,3.739,294.7,3.685
2015-12-21 00:14,368964,0,0,0,17.77,937,88.2,0,4.131,294.1,3.277
2015-12-21 00:15,368965,0,0,0,17.76,937,88.2,0,3.954,293.9,3.223
2015-12-21 00:16,368966,0,0,0,17.74,937,88.3,0,3.678,292.4,4.272
2015-12-21 00:17,368967,0,0,0,17.74,937,88.5,0,4.286,292.5,3.664
2015-12-21 00:18,368968,0,0,0,17.73,937,88.5,0,4.292,291.3,2.827
2015-12-21 00:19,368969,0,0,0,17.73,937,88.4,0,4,291.4,3.214
2015-12-21 00:20,368970,0,0,0,17.71,936,88.4,0,3.678,292.8,3.788
2015-12-21 00:21,368971,0,0,0,17.7,936,88.5,0,3.696,290.4,3.676
2015-12-21 00:22,368972,0,0,0,17.7,936,88.6,0,3.868,291.4,3.781
2015-12-21 00:23,368973,0,0,0,17.69,936,88.5,0,3.445,292.5,4.124
2015-12-21 00:24,368974,0,0,0,17.68,936,88.6,0,3.564,292.6,4.314
2015-12-21 00:25,368975,0,0,0,17.69,936,88.7,0,3.902,289.2,3.769
2015-12-21 00:26,368976,0,0,0,17.68,936,88.7,0,3.229,290.3,4.522
2015-12-21 00:27,368977,0,0,0,17.67,936,88.7,0,3.29,287.8,5.081
2015-12-21 00:28,368978,0,0,0,17.65,936,88.7,0,3.353,287.8,4.558
2015-12-21 00:29,368979,0,0,0,17.65,936,88.8,0,3.208,290.3,4.643
2015-12-21 00:30,368980,0,0,0,17.64,936,88.8,0,2.844,290.7,5.366
2015-12-21 00:31,368981,0,0,0,17.63,936,88.8,0,3.143,290.9,4.575
2015-12-21 00:32,368982,0,0,0,17.61,937,88.8,0,3.045,289.1,5.036
2015-12-21 00:33,368983,0,0,0,17.59,937,88.9,0,2.989,289.2,4.782
2015-12-21 00:34,368984,0,0,0,17.6,937,89.1,0,3.538,288.6,4
2015-12-21 00:35,368985,0,0,0,17.61,936,88.9,0,2.969,289.5,5.117
2015-12-21 00:36,368986,0,0,0,17.58,936,88.8,0,2.677,289.5,4.887
2015-12-21 00:37,368987,0,0,0,17.56,937,88.9,0,3.169,293.3,4.739
2015-12-21 00:38,368988,0,0,0,17.56,937,89,0,3.263,295.3,3.759
2015-12-21 00:39,368989,0,0,0,17.56,937,89,0,3.059,295,4.056
2015-12-21 00:40,368990,0,0,0,17.55,936,89,0,3.708,292.4,4.072
2015-12-21 00:41,368991,0,0,0,17.56,937,89.2,0,3.905,291.6,3.058
2015-12-21 00:42,368992,0,0,0,17.57,937,89.2,0,4.123,291.2,2.937
2015-12-21 00:43,368993,0,0,0,17.58,937,89.1,0,4.237,292.9,3.212
2015-12-21 00:44,368994,0,0,0,17.58,937,89.1,0,3.964,291.4,3.035
2015-12-21 00:45,368995,0,0,0,17.58,937,89.2,0,4.008,292.3,3.16
2015-12-21 00:46,368996,0,0,0,17.58,937,89,0,3.257,293.6,4.235
2015-12-21 00:47,368997,0,0,0,17.57,936,89.1,0,3.402,291.5,4.547
2015-12-21 00:48,368998,0,0,0,17.56,937,89.1,0,3.415,293.1,4.228
2015-12-21 00:49,368999,0,0,0,17.53,936,89.2,0,3.392,290.7,4.339
2015-12-21 00:50,369000,0,0,0,17.54,936,89.2,0,3.574,291.9,3.383
2015-12-21 00:51,369001,0,0,0,17.54,936,89.3,0,3.306,292.1,4.059
2015-12-21 00:52,369002,0,0,0,17.53,936,89.3,0,3.44,293.7,4.141
2015-12-21 00:53,369003,0,0,0,17.52,937,89.3,0,3.42,291.3,4.714
2015-12-21 00:54,369004,0,0,0,17.5,936,89.3,0,3.012,292.3,5.24
2015-12-21 00:55,369005,0,0,0,17.49,936,89.3,0,2.907,293.6,4.694
2015-12-21 00:56,369006,0,0,0,17.47,936,89.3,0,2.84,290.8,5.372
2015-12-21 00:57,369007,0,0,0,17.46,936,89.4,0,3.425,292.4,4.438
2015-12-21 00:58,369008,0,0,0,17.46,936,89.4,0,2.955,293.2,4.392
2015-12-21 00:59,369009,0,0,0,17.44,937,89.3,0,3.143,295.1,4.617
2015-12-21 01:00,369010,0,0,0,17.42,937,89.4,0,2.798,294.8,5.036
2015-12-21 01:01,369011,0,0,0,17.42,936,89.5,0,3.067,291.2,4.821
2015-12-21 01:02,369012,0,0,0,17.42,936,89.5,0,3.066,292.8,4.535
2015-12-21 01:03,369013,0,0,0,17.41,936,89.5,0,2.77,290.3,4.586
2015-12-21 01:04,369014,0,0,0,17.4,936,89.5,0,2.744,291.4,4.981
2015-12-21 01:05,369015,0,0,0,17.38,936,89.5,0,2.491,292.4,4.57
2015-12-21 01:06,369016,0,0,0,17.38,937,89.7,0,2.675,292.8,4.646
2015-12-21 01:07,369017,0,0,0,17.38,936,89.5,0,2.104,293.9,4.105
2015-12-21 01:08,369018,0,0,0,17.36,936,89.6,0,2.424,292.3,3.868
2015-12-21 01:09,369019,0,0,0,17.34,936,89.8,0,2.376,292.3,4.242
2015-12-21 01:10,369020,0,0,0,17.33,936,89.8,0,2.264,291,3.932
2015-12-21 01:11,369021,0,0,0,17.32,936,89.7,0,2.075,290.7,3.952
2015-12-21 01:12,369022,0,0,0,17.3,936,89.7,0,1.898,289,3.86
2015-12-21 01:13,369023,0,0,0,17.27,936,89.6,0,1.862,291,4.1
2015-12-21 01:14,369024,0,0,0,17.23,936,90,0,2.058,293.5,4.047
2015-12-21 01:15,369025,0,0,0,17.23,936,90,0,1.922,293.7,3.512
2015-12-21 01:16,369026,0,0,0,17.21,936,90.1,0,2.22,292.4,3.803
2015-12-21 01:17,369027,0,0,0,17.21,936,90,0,2.114,293,3.904
2015-12-21 01:18,369028,0,0,0,17.18,936,89.9,0,1.983,291.5,3.892
2015-12-21 01:19,369029,0,0,0,17.16,936,90,0,2.109,292.5,3.958
2015-12-21 01:20,369030,0,0,0,17.16,936,90.2,0,1.939,291.7,4.316
2015-12-21 01:21,369031,0,0,0,17.14,936,90.2,0,2.145,292.2,4.225
2015-12-21 01:22,369032,0,0,0,17.15,936,90.3,0,2.153,292.9,3.746
2015-12-21 01:23,369033,0,0,0,17.15,936,90.3,0,2.079,292.4,4.249
2015-12-21 01:24,369034,0,0,0,17.14,936,90.2,0,1.769,291.4,3.67
2015-12-21 01:25,369035,0,0,0,17.12,936,90.3,0,1.957,292.1,3.966
2015-12-21 01:26,369036,0,0,0,17.1,936,90.4,0,1.955,291.7,3.43
2015-12-21 01:27,369037,0,0,0,17.1,936,90.3,0,1.96,292.9,4.444
2015-12-21 01:28,369038,0,0,0,17.09,936,90.4,0,1.686,292.9,2.852
2015-12-21 01:29,369039,0,0,0,17.08,936,90.4,0,1.795,292.2,3.565
2015-12-21 01:30,369040,0,0,0,17.07,936,90.4,0,1.784,291.7,3.702
2015-12-21 01:31,369041,0,0,0,17.05,936,90.4,0,1.784,290.5,3.694
2015-12-21 01:32,369042,0,0,0,17.05,936,90.6,0,1.723,289.6,3.343
2015-12-21 01:33,369043,0,0,0,17.04,936,90.5,0,1.457,289.6,2.331
2015-12-21 01:34,369044,0,0,0,17.01,936,90.5,0,1.357,289.8,2.61
2015-12-21 01:35,369045,0,0,0,16.99,936,90.5,0,1.504,292,2.851
2015-12-21 01:36,369046,0,0,0,16.98,936,90.5,0,1.446,293.7,2.588
2015-12-21 01:37,369047,0,0,0,16.95,936,90.5,0,1.521,295,2.666
2015-12-21 01:38,369048,0,0,0,16.92,936,90.6,0,1.356,295,2.222
