"TOA5","GRT - GIZ Graaff-Reinet","Latitude: -32.48547","Longitude: 24.58582","Elevation: 660 m",,,SAURAN
"Date","RecNum","GHI_CMP11","DNI_CHP1","DHI_CMP11","Air_Temp","BP","RH","Rain_Tot","WS","WD","WD_SD"
"TS","RN","W/m^2","W/m^2","W/m^2","Deg C","mbar","%","mm","meters/second","Deg","Deg"
"","","Avg","Avg","Avg","Avg","Avg","Smp","Tot","WVc","WVc","WVc"
2014-06-21 00:00,121523,0,0,0,4.653,955,47.43,0,3.33,342.3,0.885
2014-06-21 00:01,121524,0,0,0,4.586,955,47.66,0,3.143,342.7,0.811
2014-06-21 00:02,121525,0,0,0,4.502,955,47.95,0,3.112,342.2,0.981
2014-06-21 00:03,121526,0,0,0,4.415,955,48.3,0,3.159,341.7,0.981
2014-06-21 00:04,121527,0,0,0,4.307,955,48.59,0,3.252,342.4,0.781
2014-06-21 00:05,121528,0,0,0,4.221,955,48.85,0,3.335,342,0.929
2014-06-21 00:06,121529,0,0,0,4.171,955,48.99,0,3.324,342.4,0.915
2014-06-21 00:07,121530,0,0,0,4.156,955,49.05,0,3.37,343.4,0.867
2014-06-21 00:08,121531,0,0,0,4.148,955,49.08,0,3.495,344.5,0.727
2014-06-21 00:09,121532,0,0,0,4.122,955,49.22,0,3.531,344.3,0.688
2014-06-21 00:10,121533,0,0,0,4.039,955,49.45,0,3.775,344.2,0.682
2014-06-21 00:11,121534,0,0,0,3.926,955,49.79,0,3.988,344,0.836
2014-06-21 00:12,121535,0,0,0,3.834,955,50.05,0,4.01,343.7,0.709
2014-06-21 00:13,121536,0,0,0,3.783,955,50.2,0,3.871,344,0.95
2014-06-21 00:14,121537,0,0,0,3.779,955,50.23,0,3.866,345.1,1.024
2014-06-21 00:15,121538,0,0,0,3.805,955,50.17,0,3.833,345.2,0.839
2014-06-21 00:16,121539,0,0,0,3.849,955,50.09,0,3.778,345.4,1.137
2014-06-21 00:17,121540,0,0,0,3.896,955,49.92,0,3.833,346.1,0.96
2014-06-21 00:18,121541,0,0,0,3.959,955,49.72,0,3.722,346.6,1.076
2014-06-21 00:19,121542,0,0,0,4.025,955,49.55,0,3.721,345.6,1.112
2014-06-21 00:20,121543,0,0,0,4.045,955,49.43,0,3.651,344.8,1.141
2014-06-21 00:21,121544,0,0,0,4.066,955,49.34,0,3.621,343.9,1.157
2014-06-21 00:22,121545,0,0,0,4.066,955,49.34,0,3.618,343.8,0.856
2014-06-21 00:23,121546,0,0,0,4.059,955,49.31,0,3.78,343.3,0.883
2014-06-21 00:24,121547,0,0,0,4.059,955,49.31,0,3.9,343.2,0.728
2014-06-21 00:25,121548,0,0,0,4.049,955,49.36,0,3.951,343,0.679
2014-06-21 00:26,121549,0,0,0,4.028,955,49.36,0,4.131,343.4,0.789
2014-06-21 00:27,121550,0,0,0,4.022,955,49.36,0,4.196,344.5,0.711
2014-06-21 00:28,121551,0,0,0,4.016,955,49.3,0,4.448,345.6,0.942
2014-06-21 00:29,121552,0,0,0,4.054,955,49.1,0,4.333,345.6,0.862
2014-06-21 00:30,121553,0,0,0,4.11,955,48.93,0,4.078,346.2,0.995
2014-06-21 00:31,121554,0,0,0,4.197,955,48.58,0,4.149,345.3,1.139
2014-06-21 00:32,121555,0,0,0,4.309,955,48.3,0,4.023,345.7,1.223
2014-06-21 00:33,121556,0,0,0,4.368,955,48.21,0,3.693,345.2,0.988
2014-06-21 00:34,121557,0,0,0,4.366,955,48.3,0,3.74,344.7,0.896
2014-06-21 00:35,121558,0,0,0,4.335,955,48.44,0,3.564,344.4,0.986
2014-06-21 00:36,121559,0,0,0,4.278,955,48.64,0,3.263,342.6,1.121
2014-06-21 00:37,121560,0,0,0,4.191,955,48.96,0,3.11,341.9,1.006
2014-06-21 00:38,121561,0,0,0,4.115,955,49.16,0,3.107,341.7,1.009
2014-06-21 00:39,121562,0,0,0,4.061,955,49.4,0,3.061,339.4,1.159
2014-06-21 00:40,121563,0,0,0,4.011,955,49.63,0,2.657,339.5,1.022
2014-06-21 00:41,121564,0,0,0,3.947,955,49.86,0,2.809,337.4,1.278
2014-06-21 00:42,121565,0,0,0,3.872,955,50.11,0,2.822,336.2,1.379
2014-06-21 00:43,121566,0,0,0,3.781,955,50.43,0,2.365,334.4,1.613
2014-06-21 00:44,121567,0,0,0,3.67,955,50.8,0,2.122,333.4,1.497
2014-06-21 00:45,121568,0,0,0,3.575,955,51.14,0,1.971,334,1.16
2014-06-21 00:46,121569,0,0,0,3.509,955,51.35,0,1.793,334.1,1.324
2014-06-21 00:47,121570,0,0,0,3.458,955,51.58,0,1.87,335.3,1.595
2014-06-21 00:48,121571,0,0,0,3.4,955,51.81,0,2.19,333.2,1.894
2014-06-21 00:49,121572,0,0,0,3.374,955,51.7,0,1.307,337.5,5.839
2014-06-21 00:50,121573,0,0,0,3.216,955,52.19,0,1.886,339.7,2.826
2014-06-21 00:51,121574,0,0,0,3.068,955,52.69,0,2.27,340.8,1.444
2014-06-21 00:52,121575,0,0,0,2.859,955,53.4,0,2.703,337.9,1.678
2014-06-21 00:53,121576,0,0,0,2.752,955,53.74,0,2.523,337.2,1.323
2014-06-21 00:54,121577,0,0,0,2.716,955,54.06,0,2.572,340.8,2.026
2014-06-21 00:55,121578,0,0,0,2.686,955,54.33,0,2.537,341.6,1.621
2014-06-21 00:56,121579,0,0,0,2.71,955,54.33,0,2.641,341.3,1.143
2014-06-21 00:57,121580,0,0,0,2.77,955,54.19,0,2.636,342.6,1.698
2014-06-21 00:58,121581,0,0,0,2.806,955,54.11,0,2.618,344.9,0.74
2014-06-21 00:59,121582,0,0,0,2.88,955,53.98,0,2.69,346.2,0.744
2014-06-21 01:00,121583,0,0,0,2.996,955,53.5,0,2.888,348.5,0.668
2014-06-21 01:01,121584,0,0,0,3.104,955,53.19,0,2.969,348.6,0.543
2014-06-21 01:02,121585,0,0,0,3.16,955,53.01,0,3.201,349.7,0.7
2014-06-21 01:03,121586,0,0,0,3.158,955,52.8,0,3.35,348.9,1.751
2014-06-21 01:04,121587,0,0,0,3.089,955,52.79,0,3.342,348.9,2.89
2014-06-21 01:05,121588,0,0,0,3.053,955,52.82,0,3.321,344.3,0.862
2014-06-21 01:06,121589,0,0,0,3.019,955,52.93,0,3.203,345.7,1.965
2014-06-21 01:07,121590,0,0,0,2.972,955,53.04,0,2.991,347,1.219
2014-06-21 01:08,121591,0,0,0,2.924,955,53.18,0,3.043,343.4,1.559
2014-06-21 01:09,121592,0,0,0,2.891,955,53.33,0,2.613,344.5,1.624
2014-06-21 01:10,121593,0,0,0,2.853,955,53.41,0,2.775,343.6,1.29
2014-06-21 01:11,121594,0,0,0,2.832,955,53.56,0,2.127,345.7,3.357
2014-06-21 01:12,121595,0,0,0,2.785,955,53.69,0,2.141,349,1.42
2014-06-21 01:13,121596,0,0,0,2.708,955,53.85,0,2.074,344.6,1.411
2014-06-21 01:14,121597,0,0,0,2.622,955,54.13,0,2.043,345.6,1.164
2014-06-21 01:15,121598,0,0,0,2.533,955,54.47,0,1.199,342.8,1.83
2014-06-21 01:16,121599,0,0,0,2.454,955,54.75,0,1.117,344.5,1.156
2014-06-21 01:17,121600,0,0,0,2.367,955,55.06,0,0.928,347.7,3.752
2014-06-21 01:18,121601,0,0,0,2.307,955,55.37,0,1.132,350,17.27
2014-06-21 01:19,121602,0,0,0,2.243,955,55.51,0,2.128,346,2.751
2014-06-21 01:20,121603,0,0,0,2.196,955,55.91,0,2.6,343.5,2.227
2014-06-21 01:21,121604,0,0,0,2.164,955,56.81,0,3.071,340.5,1.393
2014-06-21 01:22,121605,0,0,0,2.187,955,57.6,0,3.128,339.7,1.812
2014-06-21 01:23,121606,0,0,0,2.291,955,57.9,0,2.814,340.2,2.824
2014-06-21 01:24,121607,0,0,0,2.369,955,58,0,2.546,339.1,2.619
2014-06-21 01:25,121608,0,0,0,2.477,955,57.38,0,2.744,343.6,3.827
2014-06-21 01:26,121609,0,0,0,2.604,955,57.27,0,3.5,337.1,2.753
2014-06-21 01:27,121610,0,0,0,2.892,955,56.68,0,3.178,339.4,3.495
2014-06-21 01:28,121611,0,0,0,3.099,955,55.42,0,3.04,347.3,13.8
2014-06-21 01:29,121612,0,0,0,3.122,955,55.36,0,3.358,345.2,4.338
2014-06-21 01:30,121613,0,0,0,3.183,955,54.75,0,2.919,351.5,1.346
2014-06-21 01:31,121614,0,0,0,3.176,955,54.72,0,3.404,323.1,54.9
2014-06-21 01:32,121615,0,0,0,3.159,955,54.6,0,3.257,353.5,18.26
2014-06-21 01:33,121616,0,0,0,3.112,955,54.53,0,3.321,304.3,62.91
2014-06-21 01:34,121617,0,0,0,3.003,955,54.8,0,3.324,298.3,58.86
2014-06-21 01:35,121618,0,0,0,2.898,955,55.08,0,3.445,233.4,60.87
2014-06-21 01:36,121619,0,0,0,2.828,955,55.37,0,3.847,240.3,5.114
2014-06-21 01:37,121620,0,0,0,2.806,955,55.54,0,3.642,234.7,32.76
